id,label,category,emotion_sensitivity,emotion_multiplier_band,emotion_tags
cook_lunch,Cook Lunch,food_cooking,,,"achievement, learning, routine"
cook_dinner,Cook Dinner,food_cooking,,,"achievement, care, learning, routine, social"
meal_prep,Meal Prep,food_cooking,,,"achievement, administrative, discipline_building, health_support, routine"
set_table,Set Table,food_cooking,,,"achievement, administrative, care, domestic, routine, social"
wash_dishes_by_hand,Wash Dishes by Hand,food_cooking,,,"achievement, administrative, discipline_building, domestic, health_support, hygiene, routine"
load_dishwasher,Load Dishwasher,food_cooking,,,"achievement, administrative, discipline_building, domestic, hygiene, routine"
unload_dishwasher,Unload Dishwasher,food_cooking,,,"achievement, administrative, discipline_building, domestic, hygiene, routine"
store_leftovers,Store Leftovers,food_cooking,,,"achievement, administrative, discipline_building, domestic, mobility, routine"
reheat_meal,Reheat Meal,food_cooking,,,"comfort, escape, restorative, routine"
order_takeout,Order Takeout,food_cooking,,,"comfort, escape, restorative, routine, stimulation"
pick_up_takeout,Pick Up Takeout,food_cooking,,,"restorative, routine"
pack_lunch,Pack Lunch,food_cooking,,,"achievement, administrative, discipline_building, health_support, routine"
bake_something,Bake Something,food_cooking,,,"achievement, creative, learning, routine, stimulation"
grill_food,Grill Food,food_cooking,,,"achievement, comfort, domestic, escape, learning, routine, stimulation"
wash_pan,Wash Pan,food_cooking,,,"achievement, administrative, discipline_building, domestic, health_support, hygiene, routine"
wipe_kitchen_counter,Wipe Kitchen Counter,food_cooking,,,"achievement, administrative, domestic, routine"
clean_stove_top,Clean Stove Top,food_cooking,,,"achievement, administrative, discipline_building, domestic, routine"
lock_door,Lock Door,home_care,,,"care, domestic, routine"
unlock_door,Unlock Door,home_care,,,"care, domestic, routine"
turn_on_lights,Turn On Lights,home_care,,,"care, comfort, domestic, escape, restorative, routine"
turn_off_lights,Turn Off Lights,home_care,,,"achievement, care, discipline_building, domestic, routine"
adjust_thermostat,Adjust Thermostat,home_care,,,"administrative, care, comfort, domestic, escape, restorative, routine"
open_window_for_air,Open Window for Air,home_care,,,"care, comfort, domestic, escape, health_support, restorative, routine"
close_window,Close Window,home_care,,,"care, comfort, domestic, escape, restorative, routine"
start_laundry,Start Laundry,home_care,,,"achievement, administrative, care, discipline_building, domestic, hygiene, routine"
move_laundry_to_dryer,Move Laundry to Dryer,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
hang_clothes_to_dry,Hang Clothes to Dry,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
fold_laundry,Fold Laundry,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
put_clothes_away,Put Clothes Away,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
iron_clothes,Iron Clothes,home_care,,,"achievement, administrative, care, discipline_building, domestic, identity, routine"
sweep_floor,Sweep Floor,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
vacuum_floor,Vacuum Floor,home_care,,,"achievement, administrative, care, domestic, routine"
mop_floor,Mop Floor,home_care,,,"achievement, administrative, care, domestic, routine"
dust_surfaces,Dust Surfaces,home_care,,,"achievement, administrative, care, domestic, health_support, routine"
clean_sink,Clean Sink,home_care,,,"administrative, care, comfort, domestic, hygiene, routine"
clean_bathroom,Clean Bathroom,home_care,,,"achievement, administrative, care, comfort, domestic, hygiene, routine"
clean_toilet,Clean Toilet,home_care,,,"achievement, care, comfort, discipline_building, domestic, hygiene, routine"
scrub_tub,Scrub Tub,home_care,,,"administrative, care, comfort, domestic, hygiene, routine"
wipe_counter_home,Wipe Counter,home_care,,,"administrative, care, domestic, routine"
clean_stove_home,Clean Stove,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
clean_oven,Clean Oven,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
take_out_trash,Take Out Trash,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
replace_trash_bag,Replace Trash Bag,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
take_out_recycling,Take Out Recycling,home_care,,,"achievement, administrative, care, discipline_building, domestic, routine"
tidy_living_room,Tidy Living Room,home_care,,,"achievement, administrative, care, comfort, domestic, escape, restorative, routine"
pick_up_clutter,Pick Up Clutter,home_care,,,"administrative, care, domestic, routine"
organize_closet,Organize Closet,home_care,,,"administrative, care, creative, domestic, identity, routine"
declutter_drawer,Declutter Drawer,home_care,,,"administrative, care, creative, domestic, routine"
organize_pantry,Organize Pantry,home_care,,,"administrative, care, domestic, routine"
change_sheets,Change Sheets,home_care,,,"achievement, care, comfort, domestic, escape, restorative"
wipe_mirror,Wipe Mirror,home_care,,,"administrative, care, comfort, domestic, hygiene, routine"
disinfect_surfaces,Disinfect Surfaces,home_care,,,"care, domestic, health_support, routine"
water_plants,Water Plants,home_care,,,"achievement, administrative, care, discipline_building, domestic, health_support, restorative, routine"
clean_window_home,Clean Window,home_care,,,"achievement, administrative, care, domestic, routine"
stock_supplies,Stock Supplies,home_care,,,"administrative, care, domestic, routine"
update_calendar,Update Calendar,work_study,,,"achievement, administrative, discipline_building, domestic, learning, routine"
make_todo_list,Make Todo List,work_study,,,"achievement, administrative, domestic, learning, routine"
check_email,Check Email,work_study,,,"achievement, care, learning, routine"
reply_to_messages,Reply to Messages,work_study,,,"achievement, care, learning, routine, social"
attend_meeting,Attend Meeting,work_study,,,"achievement, care, learning, risky, routine, social"
greet_coworkers,Greet Coworkers,work_study,,,"achievement, learning, risky, routine, social"
start_work_task,Start Work Task,work_study,,,"achievement, care, discipline_building, learning, routine"
focus_project,Focus on Project,work_study,,,"achievement, care, learning, routine"
study_read,Study / Read,work_study,,,"achievement, creative, identity, learning, routine"
take_notes,Take Notes,work_study,,,"achievement, discipline_building, learning, routine"
submit_assignment,Submit Assignment,work_study,,,"achievement, care, discipline_building, learning, routine"
ask_questions,Ask Questions,work_study,,,"achievement, identity, learning, routine, social"
type_report,Type Report,work_study,,,"achievement, care, discipline_building, learning, routine"
fill_out_form,Fill Out Form,work_study,,,"achievement, administrative, care, discipline_building, domestic, learning, routine"
research_topic,Research Topic,work_study,,,"achievement, creative, learning, routine"
practice_skill,Practice Skill,work_study,,,"achievement, discipline_building, identity, learning, routine"
read_work_email,Read Work Email,work_study,,,"achievement, care, learning, routine"
send_invoice,Send Invoice,work_study,,,"achievement, administrative, care, financial, learning, routine"
follow_up_with_client,Follow Up with Client,work_study,,,"achievement, care, learning, risky, routine, social"
file_documents,File Documents,work_study,,,"achievement, administrative, discipline_building, domestic, learning, routine"
organize_desk,Organize Desk,work_study,,,"achievement, administrative, discipline_building, domestic, learning, routine"
clean_workspace,Clean Workspace,work_study,,,"achievement, administrative, discipline_building, domestic, learning, routine"
update_resume,Update Resume,work_study,,,"achievement, care, creative, identity, learning"
apply_for_job,Apply for Job,work_study,,,"achievement, administrative, care, financial, learning"
attend_interview,Attend Interview,work_study,,,"achievement, care, identity, learning, risky"
complete_training,Complete Training,work_study,,,"achievement, care, learning, routine"
give_presentation,Give Presentation,work_study,,,"achievement, care, identity, learning, risky, routine"
lead_meeting,Lead Meeting,work_study,,,"achievement, administrative, care, learning, risky, routine"
review_budget,Review Budget,work_study,,,"achievement, administrative, discipline_building, financial, learning, routine"
write_proposal,Write Proposal,work_study,,,"achievement, care, creative, learning, routine"
plan_event,Plan Event,work_study,,,"achievement, administrative, creative, discipline_building, domestic, learning, routine, social"
review_feedback,Review Feedback,work_study,,,"achievement, care, identity, learning, routine"
set_weekly_goals,Set Weekly Goals,work_study,,,"achievement, administrative, discipline_building, learning, routine"
track_progress,Track Progress,work_study,,,"achievement, administrative, discipline_building, learning, routine"
clock_in,Clock In,work_study,,,"achievement, care, discipline_building, learning, routine"
clock_out,Clock Out,work_study,,,"achievement, learning, routine"
take_break,Take Break,work_study,,,"achievement, comfort, escape, learning, restorative, routine"
eat_at_desk,Eat at Desk,work_study,,,"achievement, learning, routine"
scan_document,Scan Document,work_study,,,"achievement, administrative, discipline_building, domestic, learning, routine"
help_someone_work,Help Someone at Work,work_study,,,"achievement, care, learning, risky, routine, social"
apologize_work,Apologize,work_study,,,"achievement, health_support, identity, learning, restorative, routine, social"
pay_bills,Pay Bills,money_admin,,,"achievement, administrative, discipline_building, financial, routine"
check_bank_balance,Check Bank Balance,money_admin,,,"administrative, financial, routine"
budget_weekly,Budget Weekly,money_admin,,,"achievement, administrative, discipline_building, financial, learning, routine"
transfer_money,Transfer Money,money_admin,,,"administrative, financial, routine"
save_deposit,Save Deposit,money_admin,,,"administrative, financial, risky, routine"
withdraw_cash,Withdraw Cash,money_admin,,,"administrative, creative, financial, routine"
review_subscriptions,Review Subscriptions,money_admin,,,"achievement, administrative, discipline_building, financial, routine"
cancel_subscription,Cancel Subscription,money_admin,,,"administrative, financial, routine"
file_tax,File Tax,money_admin,,,"achievement, administrative, discipline_building, financial"
pay_rent,Pay Rent,money_admin,,,"achievement, administrative, domestic, financial"
calculate_expenses,Calculate Expenses,money_admin,,,"achievement, administrative, discipline_building, financial, routine"
check_credit_score,Check Credit Score,money_admin,,,"administrative, financial, risky"
set_savings_goal,Set Savings Goal,money_admin,,,"achievement, administrative, discipline_building, financial, risky"
auto_pay_setup,Auto-Pay Setup,money_admin,,,"achievement, administrative, discipline_building, domestic, financial"
track_receipts,Track Receipts,money_admin,,,"achievement, administrative, discipline_building, domestic, financial, routine"
return_item,Return Item,money_admin,,,"administrative, financial, mobility"
dispute_charge,Dispute Charge,money_admin,,,"administrative, financial"
compare_insurance,Compare Insurance,money_admin,,,"administrative, financial"
update_address,Update Address,money_admin,,,"administrative, domestic, financial"
renew_license,Renew License,money_admin,,,"achievement, administrative, discipline_building, financial"
renew_registration,Renew Registration,money_admin,,,"achievement, administrative, discipline_building, financial, mobility"
schedule_payment,Schedule Payment,money_admin,,,"achievement, administrative, discipline_building, domestic, financial, routine"
invest_savings,Invest Savings,money_admin,,,"administrative, financial, risky"
review_portfolio,Review Portfolio,money_admin,,,"administrative, financial, risky, routine"
sell_unused_item,Sell Unused Item,money_admin,,,"administrative, domestic, financial"
open_savings_account,Open Savings Account,money_admin,,,"administrative, financial, risky"
donate_to_charity,Donate to Charity,money_admin,,,"administrative, care, financial, routine, social"
check_benefits,Check Benefits,money_admin,,,"administrative, financial, routine"
file_reimbursement,File Reimbursement,money_admin,,,"achievement, administrative, discipline_building, financial, routine"
apply_for_loan,Apply for Loan,money_admin,,,"administrative, financial, risky"
go_for_walk,Go for Walk,health_fitness,,,"health_support, mobility, restorative, routine"
go_to_gym,Go to Gym,health_fitness,,,"achievement, discipline_building, health_support, routine"
lift_weights,Lift Weights,health_fitness,,,"health_support, identity, routine"
do_yoga,Do Yoga,health_fitness,,,"health_support, restorative, routine"
do_pushups,Do Pushups,health_fitness,,,"achievement, discipline_building, health_support, routine"
do_situps,Do Situps,health_fitness,,,"achievement, discipline_building, health_support, routine"
run_outdoors,Run Outdoors,health_fitness,,,"health_support, routine"
swim_laps,Swim Laps,health_fitness,,,"health_support, restorative, routine"
ride_bike,Ride Bike,health_fitness,,,"health_support, mobility, routine"
follow_workout_video,Follow Workout Video,health_fitness,,,"achievement, discipline_building, health_support, learning, routine"
stretch_after_workout,Stretch After Workout,health_fitness,,,"achievement, health_support, restorative, routine"
cool_down,Cool Down,health_fitness,,,"health_support, restorative, routine"
drink_protein_shake,Drink Protein Shake,health_fitness,,,"escape, health_support, routine"
track_calories,Track Calories,health_fitness,,,"achievement, administrative, discipline_building, health_support, routine"
weigh_self,Weigh Self,health_fitness,,,"achievement, administrative, comfort, discipline_building, health_support, hygiene"
log_workout,Log Workout,health_fitness,,,"achievement, administrative, discipline_building, health_support, learning, routine"
schedule_doctor,Schedule Doctor,health_fitness,,,"administrative, health_support"
see_doctor,See Doctor,health_fitness,,,health_support
pick_up_prescription,Pick Up Prescription,health_fitness,,,"health_support, routine"
take_supplements,Take Supplements,health_fitness,,,"health_support, routine"
rest_day,Rest Day,health_fitness,,,"health_support, restorative"
foam_roll,Foam Roll,health_fitness,,,"health_support, restorative, routine"
ice_injury,Ice Injury,health_fitness,,,"discipline_building, health_support, restorative, routine"
apply_sunscreen,Apply Sunscreen,health_fitness,,,"health_support, identity, routine"
meditate,Meditate,health_fitness,,,"health_support, restorative, routine"
journal,Journal,health_fitness,,,"creative, health_support, identity, routine"
deep_breathing,Deep Breathing,health_fitness,,,"health_support, restorative, routine"
cold_shower,Cold Shower,health_fitness,,,"achievement, comfort, discipline_building, health_support, hygiene, restorative, routine"
track_sleep,Track Sleep,health_fitness,,,"achievement, administrative, discipline_building, health_support, restorative, routine"
check_blood_pressure,Check Blood Pressure,health_fitness,,,"administrative, health_support, routine"
therapy_session,Therapy Session,health_fitness,,,"health_support, identity, restorative"
take_mental_health_day,Take Mental Health Day,health_fitness,,,"health_support, restorative"
call_friend,Call Friend,social_relationships,,,"routine, social"
text_family,Text Family,social_relationships,,,"care, routine, social"
reply_personal_messages,Reply to Personal Messages,social_relationships,,,"routine, social"
go_out_to_dinner,Go Out to Dinner,social_relationships,,,"comfort, escape, restorative, routine, social, stimulation"
date_night,Date Night,social_relationships,,,"care, restorative, routine, social"
go_on_walk_with_partner,Go on Walk with Partner,social_relationships,,,"health_support, mobility, routine, social"
play_games_with_friend,Play Games with Friend,social_relationships,,,"routine, social, stimulation"
host_gathering,Host Gathering,social_relationships,,,"escape, routine, social"
attend_party,Attend Party,social_relationships,,,"routine, social, stimulation"
visit_family,Visit Family,social_relationships,,,"care, routine, social"
babysit,Babysit,social_relationships,,,"care, routine, social"
help_friend_move,Help Friend Move,social_relationships,,,"care, routine, social"
write_thank_you_note,Write Thank You Note,social_relationships,,,"creative, identity, risky, routine, social"
send_birthday_card,Send Birthday Card,social_relationships,,,"routine, social, stimulation"
buy_gift,Buy Gift,social_relationships,,,"care, mobility, routine, social"
bring_food_to_neighbor,Bring Food to Neighbor,social_relationships,,,"care, routine, social"
catch_up_with_old_friend,Catch Up with Old Friend,social_relationships,,,"routine, social"
meet_new_person,Meet New Person,social_relationships,,,"identity, routine, social"
join_club,Join Club,social_relationships,,,"creative, identity, social"
volunteer,Volunteer,social_relationships,,,"care, routine, social"
attend_community_event,Attend Community Event,social_relationships,,,"routine, social, stimulation"
plan_group_outing,Plan Group Outing,social_relationships,,,"administrative, discipline_building, routine, social, stimulation"
have_deep_conversation,Have Deep Conversation,social_relationships,,,"routine, social"
express_gratitude,Express Gratitude,social_relationships,,,"identity, routine, social"
compliment_someone,Compliment Someone,social_relationships,,,"routine, social"
check_in_on_friend,Check In on Friend,social_relationships,,,"care, routine, social"
set_boundaries,Set Boundaries,social_relationships,,,"administrative, identity, routine, social"
reconcile_conflict,Reconcile Conflict,social_relationships,,,"health_support, identity, restorative, routine, social"
share_meal_with_someone,Share Meal with Someone,social_relationships,,,"comfort, escape, routine, social, stimulation"
introduce_two_friends,Introduce Two Friends,social_relationships,,,"routine, social"
attend_wedding,Attend Wedding,social_relationships,,,"care, social, stimulation"
play_video_games,Play Video Games,leisure_growth,,,"comfort, creative, escape, restorative, routine, stimulation"
read_book,Read Book,leisure_growth,,,"creative, learning, restorative, routine"
watch_tv,Watch TV,leisure_growth,,,"comfort, creative, escape, restorative, routine, stimulation"
listen_to_music,Listen to Music,leisure_growth,,,"administrative, comfort, creative, escape, identity, restorative, routine, stimulation"
listen_to_podcast,Listen to Podcast,leisure_growth,,,"administrative, creative, learning, routine, stimulation"
draw_or_sketch,Draw or Sketch,leisure_growth,,,"creative, identity, routine"
paint,Paint,leisure_growth,,,"creative, identity, routine"
write_creatively,Write Creatively,leisure_growth,,,"creative, identity, routine"
play_instrument,Play Instrument,leisure_growth,,,"achievement, creative, identity, learning, routine"
sing,Sing,leisure_growth,,,"comfort, creative, escape, identity, routine, stimulation"
dance,Dance,leisure_growth,,,"creative, health_support, identity, routine, stimulation"
take_photos,Take Photos,leisure_growth,,,"creative, identity, routine"
garden,Garden,leisure_growth,,,"achievement, creative, domestic, nature, restorative, routine"
do_puzzle,Do Puzzle,leisure_growth,,,"achievement, creative, learning, restorative, routine, stimulation"
play_board_game,Play Board Game,leisure_growth,,,"creative, routine, social, stimulation"
cook_new_recipe,Cook New Recipe,leisure_growth,,,"achievement, creative, learning, routine, stimulation"
learn_language,Learn Language,leisure_growth,,,"achievement, creative, identity, learning, routine"
take_online_course,Take Online Course,leisure_growth,,,"achievement, care, creative, learning, routine"
watch_documentary,Watch Documentary,leisure_growth,,,"creative, learning, routine, stimulation"
visit_museum,Visit Museum,leisure_growth,,,"creative, learning"
browse_bookstore,Browse Bookstore,leisure_growth,,,"comfort, creative, escape, learning, mobility, restorative, routine, stimulation"
write_in_journal,Write in Journal,leisure_growth,,,"creative, identity, routine"
practice_calligraphy,Practice Calligraphy,leisure_growth,,,"achievement, creative, discipline_building, learning, routine"
knit_or_crochet,Knit or Crochet,leisure_growth,,,"achievement, creative, learning, restorative, routine"
build_model,Build Model,leisure_growth,,,"achievement, creative, learning, routine, stimulation"
do_crossword,Do Crossword,leisure_growth,,,"achievement, creative, learning, restorative, routine, stimulation"
star_gaze,Star Gaze,leisure_growth,,,"comfort, creative, escape, restorative, routine, stimulation"
bird_watch,Bird Watch,leisure_growth,,,"creative, restorative, routine, stimulation"
go_fishing,Go Fishing,leisure_growth,,,"comfort, creative, escape, restorative, routine, stimulation"
try_new_hobby,Try New Hobby,leisure_growth,,,"creative, identity, stimulation"
drive_to_work,Drive to Work,errands_mobility,,,"achievement, care, mobility, routine"
take_bus,Take Bus,errands_mobility,,,"mobility, routine"
walk_to_store,Walk to Store,errands_mobility,,,"health_support, mobility, routine"
ride_bike_to_errand,Ride Bike to Errand,errands_mobility,,,"health_support, mobility, routine"
call_taxi,Call Taxi,errands_mobility,,,"comfort, escape, mobility, restorative, routine"
drop_off_package,Drop Off Package,errands_mobility,,,"achievement, administrative, discipline_building, domestic, mobility, routine"
pick_up_package,Pick Up Package,errands_mobility,,,"administrative, comfort, discipline_building, domestic, escape, mobility, routine, stimulation"
go_to_post_office,Go to Post Office,errands_mobility,,,"achievement, administrative, discipline_building, domestic, mobility, routine"
go_to_bank,Go to Bank,errands_mobility,,,"administrative, financial, mobility, routine"
go_to_pharmacy,Go to Pharmacy,errands_mobility,,,"health_support, mobility, routine"
go_to_hardware_store,Go to Hardware Store,errands_mobility,,,"achievement, administrative, domestic, mobility, routine"
go_to_dry_cleaners,Go to Dry Cleaners,errands_mobility,,,"administrative, domestic, identity, mobility, routine"
get_haircut,Get Haircut,errands_mobility,,,"creative, identity, mobility"
get_car_washed,Get Car Washed,errands_mobility,,,"administrative, domestic, hygiene, identity, mobility, routine"
get_oil_changed,Get Oil Changed,errands_mobility,,,"administrative, mobility"
get_tires_checked,Get Tires Checked,errands_mobility,,,"administrative, mobility, routine"
renew_parking_pass,Renew Parking Pass,errands_mobility,,,"administrative, domestic, mobility, nature"
return_library_books,Return Library Books,errands_mobility,,,"achievement, administrative, discipline_building, domestic, mobility, routine"
drop_off_donation,Drop Off Donation,errands_mobility,,,"care, mobility, routine, social"
pick_up_prescription_errand,Pick Up Prescription,errands_mobility,,,"health_support, mobility, routine"
gas_up_car,Gas Up Car,errands_mobility,,,"administrative, mobility, routine"
check_tire_pressure,Check Tire Pressure,errands_mobility,,,"administrative, mobility, routine"
fill_windshield_fluid,Fill Windshield Fluid,errands_mobility,,,"administrative, domestic, mobility, routine"
run_quick_errand,Run Quick Errand,errands_mobility,,,"achievement, administrative, domestic, health_support, mobility, routine"
schedule_appointment,Schedule Appointment,errands_mobility,,,"achievement, administrative, discipline_building, mobility, routine"
wait_in_line,Wait in Line,errands_mobility,,,"achievement, discipline_building, mobility, routine"
park_car,Park Car,errands_mobility,,,"mobility, nature, routine"
get_keys_copied,Get Keys Copied,errands_mobility,,,"administrative, mobility"
drop_off_kid,Drop Off Kid,errands_mobility,,,"care, mobility, routine, social"
pick_up_kid,Pick Up Kid,errands_mobility,,,"care, mobility, routine, social"
feed_baby,Feed Baby,caregiving_parenting,,,"care, financial, routine, social"
change_diaper,Change Diaper,caregiving_parenting,,,"care, financial, routine, social"
bathe_child,Bathe Child,caregiving_parenting,,,"care, comfort, financial, health_support, hygiene, restorative, routine, social"
read_to_child,Read to Child,caregiving_parenting,,,"care, financial, learning, routine, social"
help_with_homework,Help with Homework,caregiving_parenting,,,"achievement, care, financial, learning, routine, social"
pack_school_lunch,Pack School Lunch,caregiving_parenting,,,"achievement, administrative, care, discipline_building, financial, routine, social"
drive_to_school,Drive to School,caregiving_parenting,,,"care, financial, mobility, routine, social"
pick_up_from_school,Pick Up from School,caregiving_parenting,,,"care, financial, routine, social"
take_child_to_doctor,Take Child to Doctor,caregiving_parenting,,,"care, financial, health_support, social"
take_child_to_dentist,Take Child to Dentist,caregiving_parenting,,,"care, financial, health_support, social"
attend_school_event,Attend School Event,caregiving_parenting,,,"care, financial, social"
plan_birthday_party,Plan Birthday Party,caregiving_parenting,,,"administrative, care, discipline_building, financial, social, stimulation"
play_with_child,Play with Child,caregiving_parenting,,,"care, financial, routine, social, stimulation"
comfort_crying_child,Comfort Crying Child,caregiving_parenting,,,"care, financial, routine, social"
put_child_to_bed,Put Child to Bed,caregiving_parenting,,,"care, financial, routine, social"
wake_child_up,Wake Child Up,caregiving_parenting,,,"achievement, care, discipline_building, financial, routine, social"
brush_child_teeth,Brush Child's Teeth,caregiving_parenting,,,"care, comfort, financial, health_support, hygiene, routine, social"
dress_child,Dress Child,caregiving_parenting,,,"care, financial, routine, social"
monitor_screen_time,Monitor Screen Time,caregiving_parenting,,,"achievement, administrative, care, discipline_building, financial, routine, social"
check_on_sleeping_child,Check on Sleeping Child,caregiving_parenting,,,"care, financial, restorative, routine, social"
feed_pet,Feed Pet,caregiving_parenting,,,"care, financial, routine, social"
walk_dog,Walk Dog,caregiving_parenting,,,"care, financial, health_support, mobility, routine, social"
clean_litter_box,Clean Litter Box,caregiving_parenting,,,"achievement, administrative, care, discipline_building, domestic, financial, routine"
groom_pet,Groom Pet,caregiving_parenting,,,"care, financial, routine, social"
take_pet_to_vet,Take Pet to Vet,caregiving_parenting,,,"care, financial, health_support, social"
play_with_pet,Play with Pet,caregiving_parenting,,,"care, financial, restorative, routine, social, stimulation"
supervise_playtime,Supervise Playtime,caregiving_parenting,,,"care, financial, routine, social"
apply_bandage,Apply Bandage,caregiving_parenting,,,"care, financial, health_support, restorative, routine, social"
give_medicine_to_child,Give Medicine to Child,caregiving_parenting,,,"care, financial, health_support, routine, social"
call_pediatrician,Call Pediatrician,caregiving_parenting,,,"care, financial, health_support, routine, social"
change_light_bulb,Change Light Bulb,maintenance_repair,,,"achievement, administrative, domestic, routine"
replace_batteries,Replace Batteries,maintenance_repair,,,"administrative, domestic, routine"
tighten_loose_screw,Tighten Loose Screw,maintenance_repair,,,"achievement, administrative, domestic, learning, mobility, routine"
fix_leaky_faucet,Fix Leaky Faucet,maintenance_repair,,,"achievement, domestic, learning, routine"
unclog_drain,Unclog Drain,maintenance_repair,,,"achievement, comfort, discipline_building, domestic, hygiene, routine"
patch_small_hole,Patch Small Hole,maintenance_repair,,,"achievement, discipline_building, domestic, learning, routine"
touch_up_paint,Touch Up Paint,maintenance_repair,,,"achievement, creative, domestic, identity, routine"
replace_air_filter,Replace Air Filter,maintenance_repair,,,"achievement, administrative, domestic, health_support"
clean_gutters,Clean Gutters,maintenance_repair,,,"achievement, administrative, domestic"
mow_lawn,Mow Lawn,maintenance_repair,,,"achievement, administrative, domestic, risky, routine"
trim_hedge,Trim Hedge,maintenance_repair,,,"achievement, administrative, domestic, routine"
rake_leaves,Rake Leaves,maintenance_repair,,,"achievement, administrative, discipline_building, domestic, routine"
shovel_snow,Shovel Snow,maintenance_repair,,,"achievement, discipline_building, domestic, routine"
salt_walkway,Salt Walkway,maintenance_repair,,,"administrative, domestic, health_support, mobility, routine"
seal_window,Seal Window,maintenance_repair,,,"achievement, comfort, domestic, escape, restorative"
caulk_tub,Caulk Tub,maintenance_repair,,,"achievement, comfort, domestic, hygiene, learning"
fix_running_toilet,Fix Running Toilet,maintenance_repair,,,"achievement, comfort, domestic, health_support, hygiene, learning, routine"
