Here is the single sorted list of all Hoffman list emotions and their respective categories, followed by the explanation of the action columns.

List of Emotions and Categories
Emotion	Category
Example: "Wake Up" has a MIN of 1, while a full work shift or full sleep cycle has a MIN of 480 (8 hours).
What is the number scale of the actions?

The Time scale (time_minutes) runs from 1 to 480 minutes.
The Money scale (money_delta) runs from -500 to +15 (negative numbers represent costs/payments like paying rent, and positive numbers represent income or tips).
All other character delta metrics (discipline, energy, stress, fun, hygiene, social, and health) are small integer values ranging generally from -20 to +10 per action:
Energy delta: -20 to +10
Stress delta: -10 to +8
Social delta: -1 to +10
Health delta: -1 to +7
Hygiene delta: -2 to +10
Fun delta: -3 to +9
Discipline delta: -3 to +8
